model,labels,method,n_types,markers_correct,markers_total,perm_p
proximal,motif_original,raw_mean,6,12,22,0.0
proximal,motif_original,cpm_mean,6,15,22,0.0
proximal,motif_original,lognorm_mean,6,15,22,0.0
proximal,motif_original,pseudobulk_cpm,6,15,22,0.0
proximal,motif_original,depth_matched,6,15,22,0.0
proximal,corrected,raw_mean,6,15,22,0.0
proximal,corrected,cpm_mean,6,19,22,0.0
proximal,corrected,lognorm_mean,6,19,22,0.0
proximal,corrected,pseudobulk_cpm,6,20,22,0.0
proximal,corrected,depth_matched,6,19,22,0.0
enhancer,motif_original,raw_mean,6,11,22,0.0004
enhancer,motif_original,cpm_mean,6,16,22,0.0
enhancer,motif_original,lognorm_mean,6,16,22,0.0
enhancer,motif_original,pseudobulk_cpm,6,16,22,0.0
enhancer,corrected,raw_mean,6,14,22,0.0
enhancer,corrected,cpm_mean,6,21,22,0.0
enhancer,corrected,lognorm_mean,6,21,22,0.0
enhancer,corrected,pseudobulk_cpm,6,21,22,0.0
