cohort,spread,deep_type,seed,lognorm_mean_range,cpm_mean_range,raw_mean_range,detection_range,rho_detection_vs_lognormmean,rho_depth_vs_detection,rho_lognormmean_vs_share_lognorm,rho_rawmean_vs_share_raw
HCC,1,B_cell,0,1.0357612519289938,1.000000237270585,1.0714054335524605,1.0682587305418987,0.942857142857143,0.4285714285714286,0.08571428571428573,0.7142857142857143
HCC,1,B_cell,1,1.0357325904767791,1.0000002026505919,1.071495183730325,1.0682397217346777,0.942857142857143,0.4928053803045812,0.028571428571428574,0.7142857142857143
HCC,1,B_cell,2,1.0356807809478392,1.0000002413621156,1.0715420703315095,1.0682145385321271,0.942857142857143,0.48571428571428577,0.028571428571428574,0.7142857142857143
HCC,1,NK_cytotoxic_T,0,1.0355907968485374,1.0000003792528172,1.0715454788599712,1.0680318713269583,0.942857142857143,0.4928053803045812,0.028571428571428574,0.7142857142857143
HCC,1,NK_cytotoxic_T,1,1.0356007385837163,1.000000182595377,1.0717240251652806,1.0680448529408217,0.942857142857143,0.7142857142857143,0.028571428571428574,0.48571428571428577
HCC,1,NK_cytotoxic_T,2,1.0356798372644955,1.0000001675014372,1.0711991740263191,1.068095540605279,1.0,0.7944613465542746,0.028571428571428574,0.48571428571428577
HCC,2,B_cell,0,1.2818703219499243,1.0000004654689854,1.9657550094938654,1.7693568442641565,1.0,1.0,0.7714285714285715,0.942857142857143
HCC,2,B_cell,1,1.33732953333753,1.0000002970587087,2.1065699535386737,1.8953440134957285,1.0,1.0,0.7142857142857143,0.7714285714285715
HCC,2,B_cell,2,1.336886824972035,1.0000006853717023,2.105290535473956,1.894264566281856,1.0,1.0,0.8285714285714287,0.942857142857143
HCC,2,NK_cytotoxic_T,0,1.3005199779114183,1.0000003587904716,2.0256407479513223,1.8115128152279913,1.0,1.0,0.5428571428571429,0.7142857142857143
HCC,2,NK_cytotoxic_T,1,1.3067720923581134,1.0000004326120102,2.008740965583312,1.8204523590964838,1.0,1.0,-0.028571428571428574,0.2
HCC,2,NK_cytotoxic_T,2,1.3061754068549483,1.0000002794881835,2.0404725392300307,1.8265275353535941,1.0,1.0,0.4285714285714286,0.6571428571428573
HCC,5,B_cell,0,2.0556084855641132,1.0000003070996235,4.933703010036162,4.135387179839707,1.0,1.0,0.7142857142857143,0.8857142857142858
HCC,5,B_cell,1,2.0544080503247657,1.000000361769309,4.935105641334069,4.132543953334421,1.0,1.0,0.7714285714285715,0.8285714285714287
HCC,5,B_cell,2,2.052163371860691,1.000000366228801,4.923649442639757,4.1244640067228735,1.0,1.0,0.7142857142857143,0.8857142857142858
HCC,5,NK_cytotoxic_T,0,2.1453848872590076,1.0000003080226956,5.354732249411491,4.4151087341864645,1.0,1.0,0.8857142857142858,0.942857142857143
HCC,5,NK_cytotoxic_T,1,2.1460498386007765,1.0000003870231726,5.3566065133685585,4.416962450834942,1.0,1.0,0.942857142857143,0.942857142857143
HCC,5,NK_cytotoxic_T,2,2.0743331028244842,1.0000001703291876,5.098846784955392,4.209903397647651,1.0,1.0,0.48571428571428577,0.8285714285714287
HCC,10,B_cell,0,3.1675833204599475,1.0000001785721062,10.015311741657857,8.075939899842268,1.0,1.0,0.8857142857142858,0.942857142857143
HCC,10,B_cell,1,3.167279584885201,1.0000001702180856,10.023846372251658,8.078838784821686,1.0,1.0,0.7714285714285715,0.8857142857142858
HCC,10,B_cell,2,3.169176451747787,1.0000001658842284,10.030059362514537,8.085507037513594,1.0,1.0,0.7714285714285715,0.8857142857142858
HCC,10,NK_cytotoxic_T,0,3.1846510146998424,1.000000326431379,10.216840595735121,8.169284454681085,1.0,1.0,0.7142857142857143,0.942857142857143
HCC,10,NK_cytotoxic_T,1,3.1763328307644922,1.0000002566753714,10.203095529149172,8.145542379452909,1.0,1.0,0.7142857142857143,0.8285714285714287
HCC,10,NK_cytotoxic_T,2,3.1601907485448955,1.0000002473202725,10.049186586756052,8.075041358456964,1.0,1.0,0.7714285714285715,0.942857142857143
HCC,20,B_cell,0,5.102309566120123,1.000000135080195,20.012966475544044,15.851986540937975,1.0,1.0,0.7714285714285715,0.8857142857142858
HCC,20,B_cell,1,5.019586075709791,1.0000001509230092,19.625314308238988,15.535079378133599,1.0,1.0,0.942857142857143,0.942857142857143
HCC,20,B_cell,2,5.316826038669337,1.000000137017503,21.078227532838696,16.696253716653132,1.0,1.0,1.0,1.0
HCC,20,NK_cytotoxic_T,0,5.329157717918771,1.0000003004687028,21.37843143916983,16.807527155882983,1.0,1.0,0.942857142857143,1.0
HCC,20,NK_cytotoxic_T,1,5.097148576625642,1.0000002475833047,20.223804210978233,15.890394369750128,1.0,1.0,1.0,1.0
HCC,20,NK_cytotoxic_T,2,5.133749709966158,1.0000001907237412,20.40766798601183,16.043763974962978,1.0,1.0,0.8285714285714287,0.942857142857143
HCC,40,B_cell,0,8.549824712820039,1.0000000879185893,40.11312315485186,31.480770203274368,1.0,1.0,0.942857142857143,0.942857142857143
HCC,40,B_cell,1,8.41959448161004,1.0000000891177336,39.27888470186139,30.865321750227494,1.0,1.0,0.8285714285714287,0.942857142857143
HCC,40,B_cell,2,8.502158916102848,1.0000001126341498,39.82900166361997,31.255970405777976,1.0,1.0,0.8857142857142858,1.0
HCC,40,NK_cytotoxic_T,0,8.601004759085752,1.000000296169111,40.89055843034974,31.840598034010867,1.0,1.0,0.942857142857143,0.942857142857143
HCC,40,NK_cytotoxic_T,1,8.49772824920361,1.0000003282596523,40.189473118308975,31.352364371944628,1.0,1.0,0.7714285714285715,0.8285714285714287
HCC,40,NK_cytotoxic_T,2,8.97127067866209,1.0000003697177275,43.02352644520778,33.50220085268667,1.0,1.0,0.942857142857143,1.0
LUAD,1,B_cell,0,1.1863960167699341,1.0000002322786579,1.1501790051360834,1.3151262792872682,0.942857142857143,0.6377481392176932,0.7714285714285715,0.028571428571428574
LUAD,1,B_cell,1,1.1864641791379276,1.0000002921703148,1.1501486232143758,1.3152815103348487,1.0,0.5161002296110789,0.7714285714285715,0.2571428571428572
LUAD,1,B_cell,2,1.1861118428138007,1.0000004213020113,1.1497522171760555,1.3144753797670483,0.942857142857143,0.7061878636037997,0.7714285714285715,0.3142857142857143
LUAD,1,T_NK,0,1.1862383463319952,1.0000004750986462,1.1500488575528278,1.3147930713378346,1.0,0.7650368522374495,0.7714285714285715,0.3142857142857143
LUAD,1,T_NK,1,1.1863459210684235,1.000000248082564,1.1504458028353546,1.3150231167980158,1.0,0.819688599970537,0.7714285714285715,0.4285714285714286
LUAD,1,T_NK,2,1.1860168035352427,1.0000002162470685,1.1497757330241294,1.3141925707332336,1.0,0.6667366910003157,0.7714285714285715,0.3142857142857143
LUAD,2,B_cell,0,1.5299975984865615,1.0000007408939184,2.2966057592242897,2.0628670372388664,1.0,1.0,1.0,1.0
LUAD,2,B_cell,1,1.3400591160997504,1.0000006859389097,1.9981130018213336,1.7068040774586037,0.942857142857143,0.942857142857143,0.8857142857142858,0.942857142857143
LUAD,2,B_cell,2,1.3371644892825607,1.0000006376293493,2.0110917853522174,1.7001962379371955,1.0,0.8285714285714287,0.7142857142857143,0.7142857142857143
LUAD,2,T_NK,0,1.5263954381287346,1.0000009533637673,2.2849831157277216,2.057318291234923,1.0,1.0,1.0,1.0
