cohort,spread,method,n,top_share_mean,top_share_min,top_share_max,deep_wins,deep_type_share_mean,rho_depth_share_mean,rho_detection_share_mean,markers_correct_mean,markers_correct_min,markers_correct_max,markers_total,perm_p_max,realised_spread_mean
HCC,1,raw_mean,6,0.29656803386259045,0.2948284444139304,0.2973436749262132,0.0,0.1524167623428302,,0.3904761904761905,19.166666666666668,19,20,22,0.0,1.0032413800557454
HCC,1,zscale_mean,6,0.30762163324874153,0.3065449115158173,0.308888393086996,0.0,0.1500082063948048,,0.3619047619047619,19.166666666666668,19,20,22,0.0,1.0032413800557454
HCC,1,lognorm_mean,6,0.30645446370501156,0.3047941090646938,0.3078243259477921,0.0,0.1493781988576196,,0.19047619047619047,19.166666666666668,19,20,22,0.0,1.0032413800557454
HCC,1,pseudobulk_cpm,6,0.2950804477243441,0.2930948662055234,0.2963598606415295,0.0,0.1432185363346601,,0.1714285714285714,19.166666666666668,19,20,22,0.0,1.0032413800557454
HCC,1,cpm_mean,6,0.2923456792710158,0.2909665127615386,0.2931161721042786,0.0,0.1447231863518844,,0.1714285714285714,19.166666666666668,19,20,22,0.0,1.0032413800557454
HCC,2,raw_mean,6,0.3561922471374072,0.3275112173150647,0.4072851098957796,3.0,0.33158992762179684,0.7047619047619048,0.7047619047619048,19.0,18,20,22,0.0,2.0085914532343545
HCC,2,zscale_mean,6,0.3536130824446615,0.3185373652632846,0.4136999965603825,3.0,0.3250067402843578,0.7047619047619048,0.7047619047619048,19.333333333333332,19,20,22,0.0,2.0085914532343545
HCC,2,lognorm_mean,6,0.2790424424577563,0.2556340570367696,0.356137997454683,2.0,0.23623628395121812,0.5428571428571429,0.5428571428571429,19.666666666666668,19,20,22,0.0,2.0085914532343545
HCC,2,pseudobulk_cpm,6,0.28921536402350134,0.2860433534457566,0.2940326741186586,0.0,0.14037842740955844,-0.05714285714285716,-0.05714285714285716,19.5,19,20,22,0.0,2.0085914532343545
HCC,2,cpm_mean,6,0.2855954656643698,0.283430457428704,0.2881055601431324,0.0,0.1418917442550887,-0.0666666666666667,-0.0666666666666667,19.0,19,19,22,0.0,2.0085914532343545
HCC,5,raw_mean,6,0.4802264178059705,0.4115692519583369,0.5300224176582169,6.0,0.4802264178059705,0.8857142857142858,0.8857142857142858,16.166666666666668,15,19,22,0.0,5.038390874862671
HCC,5,zscale_mean,6,0.46652304098150826,0.3963846087630197,0.5230384549060183,6.0,0.46652304098150826,0.8571428571428572,0.8571428571428572,16.666666666666668,15,19,22,0.0,5.038390874862671
HCC,5,lognorm_mean,6,0.32285955757531154,0.2833301725772805,0.3540390885097721,6.0,0.32285955757531154,0.7523809523809524,0.7523809523809524,18.833333333333332,16,21,22,0.0,5.038390874862671
HCC,5,pseudobulk_cpm,6,0.2794437586271578,0.2735850683962671,0.2895484849006873,0.0,0.1347945950646422,-0.3047619047619048,-0.3047619047619048,18.666666666666668,18,19,22,0.0,5.038390874862671
HCC,5,cpm_mean,6,0.27342855231849356,0.2684873877135812,0.2809178452686523,0.0,0.13594648210902985,-0.26666666666666666,-0.26666666666666666,18.833333333333332,18,19,22,0.0,5.038390874862671
HCC,10,raw_mean,6,0.5881595638156268,0.5124374664612509,0.6567418926607245,6.0,0.5881595638156268,0.9047619047619048,0.9047619047619048,10.5,7,15,22,0.002,10.098732630411783
HCC,10,zscale_mean,6,0.5716852245327653,0.5019820318856134,0.6303294657172905,6.0,0.5716852245327653,0.9047619047619048,0.9047619047619048,10.833333333333334,8,15,22,0.005,10.098732630411783
HCC,10,lognorm_mean,6,0.38134002612505413,0.3647273855916129,0.4097490097040355,4.0,0.37573792092963404,0.7714285714285715,0.7714285714285715,15.166666666666666,13,17,22,0.0,10.098732630411783
HCC,10,pseudobulk_cpm,6,0.261639899698379,0.2397634605106632,0.2781158945535422,0.0,0.1288754448997722,-0.5238095238095238,-0.5238095238095238,18.666666666666668,18,20,22,0.0,10.098732630411783
HCC,10,cpm_mean,6,0.2600397652679181,0.2460907194455459,0.2729780521025499,0.0,0.13195368654103176,-0.5047619047619049,-0.5047619047619049,18.666666666666668,18,20,22,0.0,10.098732630411783
HCC,20,raw_mean,6,0.6245630513483823,0.5242748618784531,0.7641983191537094,6.0,0.6245630513483823,0.9619047619047619,0.9619047619047619,10.333333333333334,7,14,22,0.0435,20.338730494181316
HCC,20,zscale_mean,6,0.6086264587823801,0.5008287292817679,0.7439901979394964,6.0,0.6086264587823801,0.9619047619047619,0.9619047619047619,10.666666666666666,7,14,22,0.0135,20.338730494181316
HCC,20,lognorm_mean,6,0.42750197603187695,0.3981452699202155,0.4549159008149818,5.0,0.4186305441718401,0.9142857142857143,0.9142857142857143,14.666666666666666,9,20,22,0.0,20.338730494181316
HCC,20,pseudobulk_cpm,6,0.24060444317353782,0.2336153314917127,0.2450675874993493,0.0,0.1295375855579781,-0.4761904761904763,-0.4761904761904763,19.0,19,19,22,0.0,20.338730494181316
HCC,20,cpm_mean,6,0.24271915818766251,0.2332872928176795,0.2478536120024282,0.0,0.12921780447470452,-0.46666666666666673,-0.46666666666666673,18.833333333333332,18,19,22,0.0,20.338730494181316
HCC,40,raw_mean,6,0.6837603273032004,0.594091922631497,0.7904844290657439,6.0,0.6837603273032004,0.942857142857143,0.942857142857143,11.166666666666666,10,13,22,0.004,40.9287478129069
HCC,40,zscale_mean,6,0.6692234981891122,0.5651392321919347,0.7726643598615917,6.0,0.6692234981891122,0.942857142857143,0.942857142857143,11.5,11,13,22,0.001,40.9287478129069
HCC,40,lognorm_mean,6,0.49828182101157076,0.4369004200300762,0.5748690552839021,4.0,0.4833633977051916,0.8857142857142858,0.8857142857142858,16.0,13,19,22,0.0,40.9287478129069
HCC,40,pseudobulk_cpm,6,0.2478742871519446,0.2192562688151461,0.2764259934032155,0.0,0.12884434202961337,-0.39999999999999997,-0.39999999999999997,18.333333333333332,17,20,22,0.0,40.9287478129069
HCC,40,cpm_mean,6,0.2445668757376317,0.2147841369829641,0.2686549121867823,0.0,0.13053827397466988,-0.40952380952380957,-0.40952380952380957,18.5,17,20,22,0.0,40.9287478129069
LUAD,1,raw_mean,6,0.28173895413647315,0.2799781480469817,0.2839189115348888,3.0,0.24539897104841288,,0.7714285714285715,24.0,23,25,36,0.0,1.0152874787648518
LUAD,1,zscale_mean,6,0.28175715713301336,0.2795017482517482,0.2843560461176985,3.0,0.24650072989094376,,0.7619047619047619,23.666666666666668,23,24,36,0.0,1.0152874787648518
LUAD,1,lognorm_mean,6,0.30559656392382467,0.3038085350527293,0.3075241790066116,3.0,0.2601420173836438,,0.8095238095238096,23.666666666666668,23,24,36,0.0,1.0152874787648518
LUAD,1,pseudobulk_cpm,6,0.25106998618920456,0.249166712201519,0.2536473416753182,3.0,0.21397426584966595,,0.26666666666666666,23.833333333333332,23,25,36,0.0,1.0152874787648518
LUAD,1,cpm_mean,6,0.24477770643485594,0.2411890060652423,0.2472818663607059,3.0,0.20928451836337267,,0.26666666666666666,23.833333333333332,23,25,36,0.0,1.0152874787648518
LUAD,2,raw_mean,6,0.6924465918686346,0.6163807234182057,0.7599453551912568,6.0,0.6924465918686346,0.780952380952381,0.9333333333333335,21.166666666666668,17,24,36,0.0,2.022191802660624
LUAD,2,zscale_mean,6,0.6828935559348546,0.6080209813135177,0.7466120218579235,6.0,0.6828935559348546,0.780952380952381,0.9333333333333335,21.5,18,24,36,0.0,2.022191802660624
LUAD,2,lognorm_mean,6,0.5403878190014535,0.5004371584699454,0.6172340309272717,6.0,0.5403878190014535,0.6857142857142856,0.8476190476190477,23.333333333333332,22,25,36,0.0,2.022191802660624
LUAD,2,pseudobulk_cpm,6,0.244809069351695,0.2421593268495246,0.2472542484017267,3.0,0.20815219342476218,0.1523809523809524,0.22857142857142856,23.5,23,24,36,0.0,2.022191802660624
LUAD,2,cpm_mean,6,0.2394907184864499,0.2376243033548246,0.2407670454545454,3.0,0.20389028248650606,0.17142857142857146,0.2571428571428572,23.5,23,24,36,0.0,2.022191802660624
